Artist, Title,Album
War,The Cisco Kid,The World is a Ghetto
Squarepusher,Planetarium,Hello Everything
Electric Light Orchestra,Starlight,Out of the Blue
Michael Jackson,Earth Song - Radio Edit,Number Ones
Holy Name of Mary Choral Family,He'll Give Us What We Really Need,The Gospel According to Budgie II
Frank Zappa,Sleeping In A Jar,Ahead Of Their Time
The Beach Boys,I Get Around,50 Big Ones: Greatest Hits
Jennifer Hudson,"Golden Slumbers / Carry That Weight - From ""Sing"" Original Motion Picture Soundtrack",Sing (Original Motion Picture Soundtrack / Deluxe)
Aaliyah,Are You That Somebody,Annabelle - The Complete Fantasy Playlist
David Guetta,Memories (feat. Kid Cudi),Memories
Flo Rida,Right Round,R.O.O.T.S. (Route of Overcoming the Struggle)
Ellie Goulding,Lights,An Introduction To Ellie Goulding EP
Eminem,Love The Way You Lie,Recovery
The Chi-Lites,Are You My Woman (Tell Me So),Original Brunswick Hit Recordings
Nightcrawlers,Push The Feeling On - Mk Dub Revisited Edit,Push The Feeling On
Elvis Crespo,Suavemente,Suavemente...Los Exitos
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]
Bobby Caldwell,What You Won't Do for Love,What You Won't Do for Love
War,"City, Country, City",The World is a Ghetto
Bruce Faulconer,Heroic Trunks,The Best of DragonBall Z - Volume I
Bruce Faulconer,Destruction,The Best of DragonBall Z - Volume I
Bruce Faulconer,16 Rips Off Cells Tail,The Best of DragonBall Z - Volume I
Bruce Faulconer,The Dragon Theme,The Best of DragonBall Z - Volume I
Playhead,Rain,Nothing to Change
Luniz,I Got 5 On It,Operation Stackola
Bruce Faulconer,Cell Destroys Island,Best Of DragonBall Z - Volume VI
Bootsy Collins,I'd Rather Be with You,Stretchin' Out In Bootsy's Rubber Band
Curtis Mayfield,Move on Up - Extended Version,Curtis (Expanded Edition)
Commodores,Machine Gun,Machine Gun
The Temptations,Papa Was A Rollin' Stone - Single Version,"20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s"
Parliament,Mothership Connection (Star Child),Mothership Connection
Ohio Players,I Want To Be Free,Fire
The Brothers Johnson,Get The Funk Out Ma Face,Look Out For #1
Parliament,Flashlight,Can't Hardly Wait
The Isley Brothers,"Footsteps in the Dark, Pts. 1 & 2",Go for Your Guns
Funkadelic,Hit It and Quit It,Maggot Brain
The Isley Brothers,Between the Sheets,Between the Sheets
Cameo,Candy,Word Up
Curtis Mayfield,Superfly,Superfly (Original Soundtrack)
Patrice Rushen,Remind Me - Remastered Version,Forget Me Nots
The Jimmy Castor Bunch,I Just Wanna Stop,The Jimmy Castor Bunch
Crush 40,Live & Learn ...Main Theme of ”Sonic Adventure 2”,SONIC ADVENTURE 2 Original Soundtrack (20th Anniversary Edition)
Prince,Take Me with U,Purple Rain
Prince,The Beautiful Ones,Purple Rain
DeBarge,I Like It,All This Love
Keri Hilson,Knock You Down,In A Perfect World...
The Pharcyde,Runnin',Labcabincalifornia (Deluxe Edition)
J. Wells,Devil in Disguise - 2021 Remastered,"The Wolfpac Mixtape, Vol. 1 (2021 Remastered)"
Ms. Lauryn Hill,Ex-Factor,The Miseducation of Lauryn Hill
Mild High Club,Homage,Skiptracing
"""Weird Al"" Yankovic",Hardware Store,Poodle Hat
The Killers,Mr. Brightside,Hot Fuss
Curtis Mayfield,Pusherman,Superfly: Deluxe 25th Anniversary Edition
Wild Cherry,Play That Funky Music,Wild Cherry
Otis Redding,(Sittin' On) the Dock of the Bay,The Dock of the Bay (Mono)
Color Me Badd,All 4 Love,C.M.B.
Kool & The Gang,Summer Madness,Light Of Worlds
Isaac Hayes,Walk On By - Remastered,Hot Buttered Soul (Deluxe Remaster)
Crush 40,Sonic Boom - Crush 40 vs. Cash Cash,SONIC THE HEDGEHOG CD Original Soundtrack (20th Anniversary Edition)
Led Zeppelin,Immigrant Song - Remaster,Led Zeppelin III (Remaster)
Gucci Mane,Wake Up in the Sky,Wake Up in the Sky
Far East Movement,Rocketeer,Free Wired
Tony Jay,Heaven's Light/Hellfire,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
Tony Jay,Out There,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
Paul Kandel,Topsy Turvy,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
Alan Menken,And He Shall Smite the Wicked,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
Jeremih,oui,Late Nights: The Album
Vaughan Mason,Feel My Love,Feel My Love
Blaxy Girls,If You Feel My Love - Chaow Mix,If You Feel My Love
Heidi Mollenhauer,God Help the Outcasts,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
War,The World Is A Ghetto,The World is a Ghetto
Jack Stauber,Oh Klahoma,Pop Food
Vengaboys,"Boom, Boom, Boom, Boom!!","Boom, Boom, Boom, Boom!!"
Kool & The Gang,Get Down On It,Something Special
The Jacksons,Blame It on the Boogie,Destiny
Roberta Flack,Feel Like Makin' Love,Feel Like Makin' Love
Whitney Houston,I Will Always Love You,The Bodyguard - Original Soundtrack Album
Daft Punk,One More Time,Discovery
Halfbrick,Jetpack Joyride Main Theme,Jetpack Joyride Main Theme
Daft Punk,"Harder, Better, Faster, Stronger",Discovery
Eiffel 65,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Mix,Europop
Thundercat,Them Changes,Drunk
Bruce Faulconer,Droids Vs. Bikers,The Best Of DragonBall Z Volume 3
Charles Kimbrough,A Guy Like You,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
Alan Menken,Into The Sunlight,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
Paul Kandel,The Bells Of Notre Dame (Reprise),The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
Halfbrick,Jetpack Joyride (Headphones Remix),Jetpack Joyride (Headphones Remix)
Crush 40,Live & Learn,Driving Through Forever -The Ultimate Crush 40 Collection-
Whitney Houston,Nobody Loves Me Like You Do (with Jermaine Jackson),Whitney Houston
Harry Belafonte,Banana Boat (Day-O),Calypso
Iyaz,Replay,Replay
Al Bowlly,Lullaby Of The Leaves,The One and Only Al Bowlly
Tally Hall,Ruler of Everything,Marvin's Marvelous Mechanical Museum
War,All Day Music,All Day Music
Simple Plan,Shut Up!,Still Not Getting Any
ethereal remix,Clair De Lune,relax
The Police,Every Breath You Take,Synchronicity (Remastered 2003)
Bruce Faulconer,Cell Kills Man,Best Of DragonBall Z - Volume VI
Bruce Faulconer,Cell Returns,Best Of Dragonball Z Vol IV
Nirvana,Smells Like Teen Spirit,Nevermind (Remastered)
Bruce Faulconer,Super Buu,Dragonball Z: Buu - The Majin Sagas
Sygnature,Where Ever You Go,Sygnature
O-Zone,Dragostea Din Tei,DiscO-Zone
System Of A Down,Chop Suey!,Toxicity
Bruce Faulconer,Cell And Piccolo Fight,Best Of Dragonball Z Vol IV
War,Summer,Anthology 1970-1974
War,Four Cornered Room,The World is a Ghetto
Charlene,I've Never Been To Me,I've Never Been To Me
M.I.A.,Bad Girls,Matangi
The Offspring,All I Want,Ixnay On The Hombre
Kanye West,All Of The Lights,My Beautiful Dark Twisted Fantasy
Parliament,Give Up The Funk (Tear The Roof Off The Sucker),Mothership Connection
Bruce Faulconer,Frieza's Death,The Best Of Dragonball Z Volume 2
Prince,Purple Rain,Purple Rain
Franz Schubert,"Winterreise, D. 911: No. 7, Auf dem Flusse",Schubert: Winterreise
Franz Schubert,"Winterreise, D.911: 24. Der Leiermann",Schubert: Winterreise D 911
The Outfield,Your Love,Super Hits
Röyksopp,Remind Me,Melody A.M.
Andrew Oldham Orchestra,The Last Time,The Rolling Stones Songbook
Eminem,Without Me,The Eminem Show
Eminem,The Real Slim Shady,The Marshall Mathers LP
Gianfranco & Gianpiero Reverberi,Il carico d'oro,Preparati la bara ! (Original Motion Picture Soundtrack) [Remastered]
The Moments,Love On a Two Way Street,Complete Stang Singles Collection
Coolio,Gangsta's Paradise,Gangsta's Paradise
DeBarge,A Dream,The Ultimate Collection
Lemon Jelly,Nice Weather for Ducks,Lost Horizons
Gangsta Rap,Ni**a Ni**a Ni**a,Gangsta Rap: The Glockumentary
Eminem,My Name Is,The Slim Shady LP
Aphex Twin,Avril 14th,Drukqs
T.I.,Dead And Gone,Paper Trail
Savant,Living iPod - Original Mix,Vario
Hot Chelle Rae,Tonight Tonight,Whatever
Aventura,Obsesion,We Broke The Rules
Cortex,Huit octobre 1971,Troupeau bleu
C418,Stal,Minecraft - Volume Beta
William DeVaughn,Be Thankful for What You Got,70's Pop Gems
Bruce Faulconer,Bobidi Casts Spell,Dragonball Z: Buu - The Majin Sagas
Eddie Johns,More Spell On You,More Spell On You
Daler Mehndi,Tunak Tunak Tun,Tunak Tunak Tun
Blue Öyster Cult,(Don't Fear) The Reaper,Agents Of Fortune
Mary Jane Girls,"In My House - 12"" Version",In My House
The B-52's,Rock Lobster,The B-52's
The Isley Brothers,"For the Love of You, Pts. 1 & 2",The Heat Is On
The Isley Brothers,Voyage to Atlantis,Go for Your Guns
Bee Gees,"Night Fever - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart
Anita Ward,Ring My Bell,Ring My Bell
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous
Peaches & Herb,Shake Your Groove Thing,2 Hot!
The Jacksons,"Can You Feel It - 7"" Version",Triumph (Expanded Version)
Steely Dan,Do It Again,Can't Buy A Thrill
Michael Jackson,Human Nature,Thriller
System Of A Down,Violent Pornography,Mezmerize
The Wailers,I Shot The Sheriff,Legend - The Best Of Bob Marley And The Wailers
Junior Delgado,"Sons of Slaves - 12"" version",Sons of Slaves
DVRST,Close Eyes - Slowed + Reverb,Close Eyes (Slowed + Reverb)
The Spinners,It's A Shame,2nd Time Around (Expanded Edition)
Michael Jackson,Who Is It,Dangerous
Michael Jackson,Smooth Criminal - 2012 Remaster,Bad 25th Anniversary
Ms. Lauryn Hill,Tell Him,The Miseducation of Lauryn Hill
Michael Jackson,Man in the Mirror,"HIStory - PAST, PRESENT AND FUTURE - BOOK I"
Heatwave,Boogie Nights,Too Hot to Handle (Expanded Edition)
The Weather Girls,I'm so Excited - Radio Version,Playlist: The Best of the Weather Girls
The Weather Girls,I'm Gonna Wash That Man Right Outa My Hair,Success
The Jacksons,This Place Hotel (a.k.a. Heartbreak Hotel),Triumph
Lafayette Afro Rock Band,Darkest Light - Remastered,Malik
Boris Gardiner,Every Nigger is a Star,Every Nigger is a Star
Michael Jackson,Thriller,Thriller 25 Super Deluxe Edition
Eagles,Hotel California - 2013 Remaster,Hotel California (2013 Remaster)
Georges Bizet,Bizet: Agnus Dei,Pavarotti & Friends for Cambodia and Tibet
Tory Lanez,Say It,I Told You
DJ Kool,Let Me Clear My Throat - Old School Reunion Remix '96,Let Me Clear My Throat
Labi Siffre,I Got The... - 2006 Remaster,Remember My Song
Kris Kross,Jump,Totally Krossed Out
Fei Yu-ching,一翦梅,天之大
Bruce Faulconer,Hercule's Orchestra,Best of DragonBall Z - Volume V
Bruce Faulconer,Hercule In Nightclub,Best Of DragonBall Z - Volume VI
Alan Silvestri,Even for You,Avengers: Infinity War (Original Motion Picture Soundtrack / Deluxe Edition)
Ralph Jet,Polish Toilet,Polish Toilet
JAY-Z,Empire State Of Mind,The Blueprint 3
C418,Chirp,Minecraft - Volume Beta
Outkast,Hey Ya!,Speakerboxxx/The Love Below
Frank Sinatra,My Way - 2008 Remastered,Nothing But The Best (Remastered)
Johnny Cash,Sunday Morning Coming Down - Live,The Essential Johnny Cash
John Lennon,Happy Xmas (War Is Over) - Remastered 2010,Signature Box
Skeeter Davis,The End of the World,The Essential Skeeter Davis
SEGA Sound Team,Final Boss Theme,Sonic 3 & Knuckles
SEGA Sound Team,Endless Mine,Sonic 3 & Knuckles
SEGA Sound Team,Doomsday,Sonic 3 & Knuckles
SEGA Sound Team,Icecap Zone 1,Sonic 3 & Knuckles
New Edition,Mr. Telephone Man,New Edition
New Edition,Can You Stand The Rain,Heart Break
Chris Afton,love song for a deadman,good ol days
La Bouche,Be My Lover,Sweet Dreams
Rex Orange County,Television / So Far So Good,Apricot Princess
Sting,Shape Of My Heart,Ten Summoner's Tales
Nas,The Message,It Was Written
Kaoma,Lambada - Original Version 1989,Lambada - Les originaux No. 1 de l'été (Original 1989)
S'morez,Where Did You Go,Where Did You Go
Skee-Lo,I Wish,I Wish
100 gecs,money machine,1000 gecs
Mariah Carey,All I Want for Christmas Is You,Merry Christmas
Bruce Faulconer,Vegeta Snoozes,Best Of DragonBall Z - Volume VI
Eric Burdon,Spill The Wine,Eric Burdon Declares War
Toby Fox,Dialtone,DELTARUNE Chapter 2 (Original Game Soundtrack)
Michael Giacchino,"Space Mountain - From ""Space Mountain""",Disney Classics
Richard O'Brien,The Time Warp,Absolute Treasures: The Rocky Horror Picture Show - The Complete and Definitive Soundtrack (2015 40th Anniversary Re-Mastered Edition)
Bruce Faulconer,A Little Help From A Friend,"Dragonball Z, Trunks Compendium 1"
Tobuscus,Mine the Diamond (A Minecraft Song) [feat. Terabrite],Mine the Diamond (A Minecraft Song) [feat. Terabrite]
Kanye West,Stronger,Graduation
Styx,Mr. Roboto,Kilroy Was Here
Johnny Cash,My Grandfather's Clock,Songs Of Our Soil
JAY-Z,Ni**as In Paris,Watch The Throne (Deluxe)
Bruce Faulconer,Hyperbolic Time Chamber,The Best of DragonBall Z - Volume I
Al Bowlly,"Midnight, The Stars and You",The Shining - The Complete British Dance Band Soundtrack
Al Bowlly,It's All Forgotten Now,The Shining - The Complete British Dance Band Soundtrack
Al Bowlly,Heartaches,"The Al Bowlly Collection 1927-40, Vol. 1"
The Ventures,Lullaby Of The Leaves,Walk Don't Run - All-Time Greatest Hits
"Derrick ""Doc"" Pearson",Work That Sucker to Death,"A Family Man (Instrumental Music to Inspire, Motivate and Relax a Family Man)"
Alan Menken,Humiliation,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
SEGA SOUND TEAM,Super Sonic Racing,Sonic R Original Soundtrack
"Earth, Wind & Fire",Boogie Wonderland,I Am
David Ogden Stiers,The Bells of Notre Dame,The Hunchback Of Notre Dame (Original Motion Picture Soundtrack)
Drake,Pound Cake / Paris Morton Music 2,Nothing Was The Same
Prince,Darling Nikki,Purple Rain
Prince,I Would Die 4 U,Purple Rain
Roy Ayers Ubiquity,Running Away - 12-Inch Long Version,Lifeline
Capital Cities,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition)
Don Omar,Danza Kuduro,Meet The Orphans
Orchestra Moderna,BIBI YANGU (re-edit) - Original mix,Edits
"Earth, Wind & Fire",Let's Groove,Raise!
Bruno Mars,Leave The Door Open,An Evening With Silk Sonic
The Rare Occasions,Notion,Futureproof
Lümi,Sucky Sucky (Love Me Long Time),Sucky Sucky (Love Me Long Time)
Kanye West,Don't Like.1,Kanye West Presents Good Music Cruel Summer
RoomTone,Big Shot,Big Shot
Daryl Hall & John Oates,Out of Touch,The Very Best of Daryl Hall / John Oates
The Daniel Pemberton TV Orchestra,Clouds Observer,Little BIG Music: Musical Oddities From And Inspired By Little Big Planet
Santo & Johnny,Sleep Walk,Canadian American Greatest Hits 50th Anniversary Collection
Captain Jack,Dream a Dream - Radio Mix,The Captain's Revenge
Darlene Love,Christmas (Baby Please Come Home),A Christmas Gift For You From Phil Spector
Djavan,Esquinas,Lilás
DistantCry,Worst Beat Ever Created (Number 10),Worst Beat Ever Created (Number 10)
Johnny Cash,Hurt,American IV: The Man Comes Around
Oliver Buckland,backroom labyrinth,backroom labyrinth
harvoYT,Monkey Type Beat,Monkey Type Beat
Roy Ayers Ubiquity,"We Live In Brooklyn, Baby",He's Coming
Steve Jablonsky,Tessa,Transformers: Age of Extinction (Music from the Motion Picture) - EP
M83,Wait,"Hurry Up, We're Dreaming"
twistyp,I Shoot for Fun / Iayze Diss,I Shoot for Fun / Iayze Diss
Macky Gee,Tour,Tour
Allspice,Slipped Away,Allspice
Allspice,Hungry For Your Love,Allspice
Allspice,She's A Lady,Allspice
Jack Wall,Dogfight,Call of Duty Black Ops II (Original Game Soundtrack)
Jack Wall,Hero's Theme,Call of Duty Black Ops II (Original Game Soundtrack)
blink-182,All The Small Things,Enema Of The State
M83,My Tears Are Becoming A Sea,"Hurry Up, We're Dreaming"
Gloria Gaynor,I Will Survive - 1981 Re-recording,I Will Survive
Jack Wall,Theme from Call of Duty Black Ops II - Orchestral Mix,Call of Duty Black Ops II (Original Game Soundtrack)
Carlos Vives,Ella Es Mi Fiesta,Más + Corazón Profundo
Naeleck,Heroes,All My Heroes
ABBA,Slipping Through My Fingers,The Visitors (Deluxe Edition)
Gianfranco & Gianpiero Reverberi,Nel cimitero di Tucson,Preparati la bara ! (Original Motion Picture Soundtrack) [Remastered]
Ennio Morricone,The Ecstasy Of Gold - 2004 Remaster,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]"
Ennio Morricone,"The Good, The Bad And The Ugly - 2004 Remaster","The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]"
The Stylistics,People Make The World Go Round,The Best Of The Stylistics and More 30th Anniversary Edition
Lafayette Afro Rock Band,Ozan Kouklé - Remastered,Afon
Junior Senior,Move Your Feet,d-d-don't don't stop the beat (Explicit Content U.S. Version)
MOB Games,It's Playtime,Poppy Playtime Ch. 1 (Original Game Soundtrack)
Jack Wall,On Deck,Call of Duty Black Ops II (Original Game Soundtrack)
Bad Religion,Supersonic,The Process Of Belief
Jimmy Gnecco,It Has To Be This Way - Platinum Mix,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection
Slump AK,Syrup,Syrup
The Turtles,Happy Together,Happy Together
Naofumi Hataya,ルーヴル美術館侵入,リズム怪盗R 皇帝ナポレオンの遺産 オリジナル サウンドトラック (Vol. 1)
New Edition,Cool It Now,New Edition
New Edition,I'm Still In Love With You,Home Again
The Daniel Pemberton TV Orchestra,Rock The Jungle,Little BIG Music: Musical Oddities From And Inspired By Little Big Planet
Vertigoaway,Break This The Breaking Point 2,Break This The Breaking Point 2
TileKid,you not the same - slowed down version,you not the same (slowed down version)
Hazel,I Love Poland - Chengdu Remix,I Love Poland (Chengdu Remix)
Fatty Spins,Doin' Your Mom,Doin' Your Mom
IShowSpeed,Shake,Shake
Tenacious D,Tribute,Tenacious D
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow)
Shakira,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)"
Erik Satie,Gymnopédie No. 1,Erik Satie & Friends
S3RL,Mtc,Mtc
Vera Lynn,We'll Meet Again,Silver Memories: Our Vera
Red Giant Project,Per Se,Red Giant Project
Simple Plan,I'm Just a Kid,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)"
Toxic Tripz,Miss The Rage - Remix,Miss The Rage (Remix)
Basshunter,DotA - Radio Edit,Now You're Gone - The Album
Basshunter,All I Ever Wanted - Radio Edit,Now You're Gone - The Album
Russ Morgan and His Orchestra,Moonlight and Shadows,The Uncollected: Russ Morgan and His Orchestra
